English_Name,Company,Email,Phone,Fax,Industrial_City,Classification
Arasco Chemical Industries,اراسكو للصناعات الكيميائية,archem@arasco.com,138123451,138123133,الدمام الثانية,المواد الكيميائية و منتجاتها
Innovation Packaging & Printing,الإبتكار للتغليف والطباعة,ebtekar1@al-ebtekar.com,138471878,138471878,الدمام الأولى,صناعات تحويلية اخرى
Circle of Arab industry,الدائرة العربية للصناعة,arabcircl@yahoo.com,126081420,126081410,جــدة الأولى,المواد الكيميائية و منتجاتها
Al-Rashed A. Bewtonj,الراشد ايه بيوتنج,ahmed@alrashidabetong.com,114981222,112792448,الرياض الثانية,صناعة المعادن اللافلزية و مواد البناء
Al-Rashed Fasteners and Engineering Services Industries,الراشد للمثبتات وخدمات الصناعات الهندسية,mohamek.noor@alrashedsreel.com,138873392,138873401,الدمام الثانية,غير مصنف
The company's basic tapes and adhesives,الشركة الاساسية للاشرطة والمواد اللاصقة,info@al-asassiyah.com,126354388,26354388,جــدة الأولى,صناعة منتجات المطاط و البلاستيك
First Economic Company for Food Products,الشركة الاقتصادية الأولى للمنتجات الغذائية,ssm@first-economic.com,112654777,112655416,الرياض الثانية,صناعة المنتجات الغذائية والمشروبات
United Arab Emirates Company for Metal Industries,الشركة الاماراتية للصناعات المعدنية,kpria6-6@hotmail.com,138121017,138121935,الدمام الثانية,غير مصنف
The company for the first feed packaging,الشركة الاولى للتغذية والتغليف,osama.alparoon@live.com,126080780,126080563,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
National Company for Trade and metal smelting Mahd,الشركة الأهلية لتجارة وصهر المعادن المحد,behaisi@yahoo.com,122904958,122884425,جــدة الأولى,صناعة معدنية
National Company for Food Industries (Americana),الشركة الأهلية للصناعات الغذائية (امريكانا),farag@americanameat.com,122204999,126371072,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
National Company for Food Industries (Americana),الشركة الأهلية للصناعات الغذائية (امريكانا),farag@americanameat.com,122204999,126371072,جــدة الأولى,غير مصنف
Modern Company for Food Industry,الشركة الحديثة لصناعة المواد الغذائية,fahad.wajeeh@almarai.com,126362523,26362523,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
Modern Company for Construction Chemicals,الشركة الحديثة لكيماويات البناء,OMAR00015@HOTMAIL.COM,126080343,26080343,جــدة الأولى,المواد الكيميائية و منتجاتها
Modern Company for Construction Chemicals,الشركة الحديثة لكيماويات البناء,hab888@yahoo.com,126080343,26080343,جدة الثانية,المواد الكيميائية و منتجاتها
Gulf Systems Packaging,الشركة الخليجية لانظمة التعبئة والتغليف,hr1@gulf-pack.com,126360099,126352111,جــدة الأولى,صناعة منتجات المطاط و البلاستيك
Gulf Company for the manufacture of salt,الشركة الخليجية لصناعة الملح,squntar@gulfsalt.com,138122258,138122259,الدمام الثانية,غير مصنف
International Refreshments Company Limited,الشركة الدولية للمرطبات المحدودة,HAlNamazi@ALJOMAIHBEV.com,114995252,114985252,الرياض الثانية,صناعة المنتجات الغذائية والمشروبات
Fast Company International Petrochemical Co.Ltd.,الشركة السريعة الدولية للبتروكيماويات المحدودة,abdulrahman@dadcoltd.com,126371175,26371175,جــدة الأولى,المواد الكيميائية و منتجاتها
Saudi Jordanian Engineering Industries,الشركة السعودية الاردنية للصناعات الهندسية,tsajco@hotmail.com,114982009,114983415,الرياض الثانية,صناعة معدنية
Saudi German Industry Co.Ltd. Brakes,الشركة السعودية الالمانية لصناعة الكوابح المحدوده,almartan@sgbrake.com,126080766,26080766,جــدة الأولى,معدات ومكائن
US Saudi Company Limited,الشركة السعودية الامريكية المحدودة,infosaclf@yahoo.com,114982312,114982316,الرياض الثانية,صناعة المعادن اللافلزية و مواد البناء
Saudi German products is spun,الشركة السعودية الألمانية للمنتجات غير المغزولة,mamageed@sgn.com.sa,138122111,138121333,الدمام الثانية,غير مصنف
Saudi German aluminum products (Sagibiku),الشركة السعودية الألمانية لمنتجات الألمنيوم (سقابكو),monther@sgapco.com,126356222,126081752,جــدة الأولى,صناعة معدنية
US-Saudi company structures Najaf fluorescent,الشركة السعودية الأمريكية لهياكل نجف الفلورسنت,moafaq0033@hotmail.com,126374391,126374417,جــدة الأولى,صناعة معدنية
Saudi Modern industry wire and electric cables,الشركة السعودية الحديثة لصناعة الاسلاك والكابلات الكهربائية,rcgc@riyadh-cables.com,112650850,112651423,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
Saudi Modern industry wire and electric cables,الشركة السعودية الحديثة لصناعة الاسلاك والكابلات الكهربائية,rcgc@riyadh-cables.com,112650850,112651423,الرياض الثانية,غير مصنف
Saudi Modern Cables Industry,الشركة السعودية الحديثة لصناعة الكابلات,rcgc@riyadh-cables.com,112651415,112651423,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
Saudi Modern Industry Telephone Cable Co.Ltd. - Riyadh Cables God,الشركة السعودية الحديثة لصناعة الكابلات الهاتفية المحدودة - الرياض للكابلات الها,rcgc@riyadh-cables.com,112650850,112652062,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
Saudi Modern Industry Telephone Cable Co.Ltd. - Riyadh Cables God,الشركة السعودية الحديثة لصناعة الكابلات الهاتفية المحدودة - الرياض للكابلات الها,rcgc@riyadh-cables.com,112650850,112652062,الرياض الثانية,غير مصنف
Saudi Modern metal industrycablesplastic -LA for cables and metal,الشركة السعودية الحديثة لصناعة المعادن والكابلات والبلاستيك -الرياض للكابلات والمعادن,rcgc@riyadh-cables.com,112650850,112651423,الرياض الثانية,صناعة معدنية
Saudi Gulf Hydraulic Co.Ltd.,الشركة السعودية الخليجية الهيدروليكية المحدودة,sghcl@sghcl.com.sa,112651616,112651722,الرياض الثانية,صناعات تحويلية اخرى
Saudi Gulf Environmental Protection Co.Ltd.,الشركة السعودية الخليجية لحماية البيئة المحدودة,sepcoriyadh@hotmail.com,112650970,112653970,الرياض الثانية,صناعات تحويلية اخرى
Saudi Swiss electric counters,الشركة السعودية السويسرية للعدادات الكهربائية,info@saudi-masar.com,126080589,26080589,جــدة الأولى,صناعة الكهرباء والأجهزة الكهربائية
Saudi Arabian Glass Co.Ltd.,الشركة السعودية العربية للزجاج المحدودة,sagco@sagco.net,126377462,126377462,جــدة الأولى,صناعة المعادن اللافلزية و مواد البناء
Saudi Technical Plastics Co.Ltd.,الشركة السعودية الفنية للبلاستيك المحدودة,salimkhodr@gmail.com,112651121,112652164,الرياض الثانية,صناعة منتجات المطاط و البلاستيك
Saudi Technical Plastics Co.Ltd. (Stbeko),الشركة السعودية الفنية للبلاستيك المحدودة ( ستبكو),Salimkhodr@gmail.com,112651121,112652164,الرياض الثانية,غير مصنف
Saudi Kuwait Furniture Manufacturing,الشركة السعودية الكويتية لصناعة الاثاث,skchrome@hotmail.com,112652160,112652167,الرياض الثانية,صناعة الخشب و الأثاث
Saudi New Zealand Dairy Products,الشركة السعودية النيوزيلندية لمنتجات الألبان,saleh.alomari@fonterra.com,138122200,138121248,الدمام الثانية,غير مصنف
Saudi Re Aluminum Manufacturing Co.Ltd. (Sarko),الشركة السعودية لاعادة تصنيع الألمنيوم المحدودة (ساركو),abdullatif53@gemel.com,126718628,126718628,جــدة الأولى,صناعة معدنية
Saudi Company for the production of chewing gum and its derivatives,الشركة السعودية لانتاج اللبان ومشتقاته,salghamdi@gandour.com,126366869,26366869,جــدة الأولى,صناعة المنتجات الغذائية والمشروبات
Saudi Company for the production of chewing gum and its derivatives,الشركة السعودية لانتاج اللبان ومشتقاته,salghamdi@gandour.com,126366869,26366869,جــدة الأولى,غير مصنف
Saudi Company for the production of cold rooms,الشركة السعودية لانتاج غرف التبريد,zaib.mohammad@cgs.com.sa,112650990,112651079,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
Saudi Company for the production of building materials,الشركة السعودية لانتاج مواد البناء,info@sbm-rmc.com,126350088,126080936,جــدة الأولى,غير مصنف
Saudi Company for the production of hygiene materials,الشركة السعودية لانتاج مواد النظافة,raddad@sidco.com.sa,138121135,138123336,الدمام الثانية,المواد الكيميائية و منتجاتها
Saudi Company for recycling paper and waste,الشركة السعودية لإعادة التدوير للورق والمخلفات,yousseri@saudipaper.com,138123880,138121060,الدمام الثانية,غير مصنف
Saudi Company for the production of clay pipes,الشركة السعودية لإنتاج الانابيب الفخارية,saad@svcpfactory.com,114980772,114984815,الرياض الثانية,صناعة المعادن اللافلزية و مواد البناء
Saudi panels formica,الشركة السعودية لألواح الفورميكا,formica@rakco.com.sa,138123590,1381234594,الدمام الثانية,غير مصنف
Saudi Steel Pipes,الشركة السعودية لأنابيب الصلب,abdi@sspipe.com,0138122222 تحويلة 1159,138121005,الدمام الثانية,غير مصنف
Saudi Steel Pipes,الشركة السعودية لأنابيب الصلب,info@sspipe.com,138122222,138121005,الدمام الثانية,غير مصنف
Saudi Company for air distribution systems,الشركة السعودية لأنظمة توزيع الهواء,jawhari@safid.com,114982984,114982497,الرياض الثانية,صناعة الكهرباء والأجهزة الكهربائية
Saudi Company for the processing of paper,الشركة السعودية لتجهيز الورق,jeddah@simpex.com.sa,126913960,126828759,جــدة الأولى,ورق ومنتجاتها
Saudi Company for Paper Converting,الشركة السعودية لتحويل الورق,hassan@saudipaper.com,138123210,138123229,الدمام الثانية,غير مصنف
Saudi Company for the manufacture of steel buildings,الشركة السعودية لتصنيع المباني الحديدية,sbsmfg@saudibuilding.org,126352173,126352173,جــدة الأولى,صناعة معدنية
Saudi Metal Coating,الشركة السعودية لتغليف المعادن,mahmavd@sacco-smc.com,138411800,138121137,الدمام الثانية,غير مصنف
Saudi Aluminum Industries - Slmko,الشركة السعودية لصناعات الالمنيوم - سلمكو,salumco@salumco.com,114484322,114467523,الرياض الثانية,صناعة معدنية
Saudi Industries Foam dishes,الشركة السعودية لصناعات أطباق الفوم,spak@saudipack.com.sa,138122080,138122096,الدمام الثانية,غير مصنف
Saudi Company for the manufacture of dishes foam,الشركة السعودية لصناعة اطباق الفوم,mohd@kuwaitpack.com,126082099,126082099,جــدة الأولى,صناعة منتجات المطاط و البلاستيك
Saudi Company for Metal Limited Bishop,الشركة السعودية لصناعة الاسقف المعدنية المحدودة,zsiklawi@smcinteriors.com,126376082,126365433,جــدة الأولى,صناعة معدنية
Saudi Company for the manufacture of aluminum Slmko,الشركة السعودية لصناعة الالمنيوم سلمكو,salumco@salumco.com,114484322,114467523,الرياض الأولى,صناعة معدنية
Saudi American Furniture Industry,الشركة السعودية لصناعة الأثاث الأمريكي,athath@carpets.com,114385599,112652309,الرياض الثانية,صناعة الخشب و الأثاث
